Key/String ID,English,Context,Comments,العربيةُ,български език,简体中文,čeština,Dansk,Nederlands,Suomi,Français,Deutsch,Ελληνικά,Magyar,Italiano,日本語,한국어,Norsk,Polski,Português,Português do Brasil,Română,Русский,Español-España,Español-Latinoamérica,Svenska,ไทย,Türkçe,Українська,Tiếng Việt,中文 (繁體)
ach-WhatAWaste,What A Waste,,,,,白费功夫,Co za plýtvání,,,,Une vraie décharge,,,,,,완전 낭비잖아,,,,,,Захламили,Vaya despilfarro,,,,,,,
ach-WhatAWaste-description,"Mine 100,000 Waste Resource",,,,,开采 100000 次废物资源,Moje 100 000 jednotek odpadního zdroje,,,,Extrayez 100 000 déchets,,,,,,"매장 자원 100,000개를 채굴하세요.",,,,,,Добыть 100 000 отходных ресурсов,Extrae 100 000 recursos residuales.,,,,,,,
ach-AutomationIsTheKey,Automation Is The Key To Efficiency,,,,,自动化乃效率之源,Automatizace je klíčem k efektivitě,,,,,L'automatisation est essentielle pour la productivité,,,,,,자동화는 효율의 핵심,,,,,,Автоматизация — залог эффективности,La automatización es la clave de la eficiencia,,,,,,
ach-AutomationIsTheKey-description,Craft 100 Conveyor Belts,,,,,制作 100 条传送带,Vyrobte 100 dopravních pásů,,,,Fabriquez 100 bandes transporteuses,,,,,,컨베이어 벨트를 100개 제작하세요.,,,,,,Спроектировать 100 конвейеров,Fabrica 100 cintas transportadoras.,,,,,,,
ach-NowThatIsAFactory,Now That Is A Factory!,,,,,超级工厂,To je ale továrna!,,,,Une usine digne de ce nom !,,,,,,이래야 공장이지!,,,,,,Вот теперь это завод!,¡Menuda fábrica!,,,,,,,
ach-NowThatIsAFactory-description,"Craft 1,000 Conveyor Belts",,,,,制作 1000 条传送带,Vyrobte 1 000 dopravních pásů,,,,Fabriquez 1 000 bandes transporteuses,,,,,,"컨베이어 벨트를 1,000개 제작하세요.",,,,,,Спроектировать 1000 конвейеров,Fabrica 1000 cintas transportadoras.,,,,,,,
ach-ThankYouForPlayingDemo,Thank You For Playing!,,,,,感谢游玩,Děkuji za hraní!,,,,Merci d'avoir joué !,,,,,,플레이해 주셔서 감사합니다!,,,,,,Спасибо за игру!,¡Gracias por jugar!,,,,,,,
ach-ThankYouForPlayingDemo-description,Reach the end of the demo,,,,,达成试玩版本结局,Dosáhněte konce dema,,,,Atteignez la fin de la démo,,,,,,데모를 끝까지 완료하세요.,,,,,,Пройти демоверсию,Llega al final de la demo.,,,,,,,
ach-WhatAboutSecondDemo,What About Second Demo?,,,,,再来一局,Co s druhým demem?,,,,Une deuxième démo ?,,,,,,두 번째 데모를 시작해 볼까?,,,,,,Как насчёт второй демки?,"Sí, pero ¿y la segunda demo?",,,,,,,
ach-WhatAboutSecondDemo-description,Restart the demo after completing it,,,,,完成试玩版本后再次重玩,Restartujte demo po jeho dokončení,,,,Redémarrez la démo après l'avoir terminée,,,,,,데모를 완료한 후 다시 시작하세요.,,,,,,Заново запустить демоверсию после её завершения,Termina la demo y vuelve a empezarla.,,,,,,,
ach-ADemoSoNice,A Demo So Nice I Demoed It Twice,,,,,乐此不疲,"Demo tak skvělé, že jsem si ho předvedl dvakrát.",,,,Double dose de démo,,,,,,좋은 건 두 번 해도 좋다,,,,,,"Демкай раз, демкай два",La demo de moda,,,,,,,
ach-ADemoSoNice-description,Reach the end of the demo a second time,,,,,第二次达成试玩版本结局,Dosáhněte konce dema podruhé,,,,Atteignez la fin de la démo une deuxième fois,,,,,,데모를 끝까지 두 번 완료하세요.,,,,,,Пройти демоверсию до конца во второй раз,Llega al final de la demo por segunda vez.,,,,,,,
DataAnalytics,Data Analytics,,,,,数据分析,Analýza dat,,,,,Analyse des données,Datanerhebung,,,,,데이터 분석,,,,,,Аналитика данных,Análisis de datos,,,,,,
AllowAnalytics,Allow Analytics,,,,,允许数据分析,Povolit analytiku,,,,,Autoriser l'analyse des données,Analytik erlauben,,,,,분석 허용,,,,,,Разрешить сбор аналитики,Permitir análisis,,,,,,
AnalyticsConsentContent,"We are constantly striving to improve Dawn Apart.
For this purpose, we track some user-specific data that helps out a lot to create gameplay statistics and unearth shortcomings.

Your data is NOT sold to third parties and only used for debugging and improving the game itself. 

Do you agree with the collection and processing of your user data?",,,,,"我们一直在努力改进《Dawn Apart》。
为此，我们会收集一些用户相关数据，以便生成游戏统计信息并发现存在的问题。

您的数据不会被出售给第三方，仅会用于调试和改进游戏本身。

您是否同意我们收集并处理您的用户数据？","Stále se snažíme zlepšovat Dawn Apart.Za tímto účelem sledujeme některá uživatelská data, která velmi pomáhají při vytváření herních statistik a odhalování nedostatků.Vaše data NEJSOU prodávána třetím stranám a slouží pouze k ladění a zlepšování samotné hry.Souhlasíte se shromažďováním a zpracováním vašich uživatelských dat?",,,,"Nous visons constamment à améliorer Dawn Apart.
Pour cela, nous collectons certaines données spécifiques à l'utilisateur qui nous aident grandement à créer des statistiques de jeu et à trouver des défauts.

Vos données ne sont PAS vendues à des tiers et ne sont utilisées que pour corriger des bugs et améliorer le jeu. 

Autorisez-vous la collecte et le traitement de vos données d'utilisateur ?","Wir sind stets bemüht Dawn Apart zu verbessern.
Zu diesem Zweck sammeln wir bestimmte Nutzerdaten. Sie helfen uns dabei Statistiken zum Gameplay aufzustellen und Probleme aufzudecken.

Deine Nutzerdaten werden NICHT an Dritte verkauft und ausschließlich zur Fehlerbehebung und Optimierung des Spiels selbst verwendet.

Stimmst du der Erhebung und Verarbeitung deiner Nutzerdaten zu?",,,,,"저희는 끊임없이 Dawn Apart를 개선하기 위해 최선을 다하고 있습니다.
이에 게임플레이 통계를 생성하고 개선점을 찾아낼 목적으로 일부 사용자 고유 데이터를 추적하고 있습니다.

수집한 데이터는 제3자에게 제공되지 않으며 오직 게임을 디버깅하고 개선하는 용도로만 사용합니다. 

사용자 데이터 수집과 처리에 동의하십니까?",,,,,,"Мы хотим сделать Dawn Apart лучше.
С этой целью мы собираем некоторые пользовательские данные, помогающие нам формировать статистику игрового процесса и выявлять проблемы.

Ваши данные НЕ продаются третьим лицам и используются исключительно для отладки и улучшения самой игры.

Вы согласны на сбор и обработку ваших пользовательских данных?","Nuestro objetivo es seguir mejorando Dawn Apart.
Para ello, realizamos un seguimiento de datos específicos de los usuarios que nos ayudan en gran medida a crear estadísticas de juego y detectar fallos.

NO vendemos los datos a terceros, y solo los usamos para solventar errores y mejorar el juego.

¿Aceptas que recopilemos y procesemos tus datos de usuario?",,,,,,,
DeleteAnalyticsHistory,Delete Analytics History,,,,,删除分析记录,Smazat historii analytických dat,,,,,Supprimer l'historique des données,Analytik Historie löschen,,,,,분석 기록 삭제,,,,,,Удалить историю аналитики,Eliminar historial de análisis,,,,,,
DataDeletionContent,"You are about to request the deletion of all data on our backend that has been collected with your user ID.

Are you sure you want to proceed?",,,,,"您即将要求删除我们在后台中收集到的与您的用户 ID 相关的所有数据。

确定要继续吗？","Chystáte se požádat o smazání všech dat na našem serveru, která byla shromážděna s vaším uživatelským ID.Jste si jisti, že chcete pokračovat?",,,,"Vous êtes sur le point de demander la suppression de toutes les données que nous avons collectées sur notre serveur via votre identifiant utilisateur.

Souhaitez-vous vraiment continuer ?","Hiermit beantragst du die Löschung sämtlicher Nutzerdaten von unserem Backend, die wir zu deiner Benutzer ID gesammelt haben.

Bist du sicher, dass do fortfahren möchtest?",,,,,"사용자 ID를 포함해 지금까지 백엔드로 수집한 모든 데이터 삭제를 요청하셨습니다.

계속 진행하시겠습니까?",,,,,,"Вы собираетесь запросить удаление всех данных на наших серверах, привязанных к вашему идентификатору пользователя.

Вы уверены, что хотите удалить историю?","Vas a solicitar la eliminación de todos los datos almacenados en nuestro servidor que se han recopilado con tu ID de usuario.

¿Seguro que quieres continuar?",,,,,,,
DataDeletionConfirmation,"We deleted all analytics data collected from your game in our backend and future analytics collection has been turned off.

You can opt back in anytime in the settings menu.",,,,,"我们已在后台删除从您的游戏中收集的所有分析数据，且将来也不会再收集任何数据。

您可以随时在设置菜单中重新启用该功能。","Smazali jsme všechna analytická data z vaší hry, která jsme shromáždili na našem backendu, a sběr budoucích analytických dat byl vypnut.Můžete se kdykoli znovu přihlásit v nabídce nastavení.",,,,"Nous avons supprimé toutes les données collectées depuis votre jeu dans notre backend, et les futures collectes de données ont été désactivées.

Vous pouvez les réactiver à tout moment depuis le menu Paramètres.","Alle Analytik Daten von deinem Spiel wurden von unserem Backend gelöscht und zukünftige Datenerhebung wurde deaktiviert.

Du kannst die Datensammlung in den Einstellungen jederzeit wieder aktivieren.",,,,,"게임에서 수집해 백엔드에 저장한 모든 분석 데이터를 삭제했으며, 추가 데이터 수집을 중지하였습니다.

해당 설정은 언제든지 환경설정 메뉴에서 관리할 수 있습니다.",,,,,,"Мы удалили с наших серверов все данные, собранные из вашей игры, и отключили сбор аналитики в будущем.

Вы можете снова включить его в любое время в настройках.","Hemos eliminado todos los datos de análisis de tu partida que habíamos recopilado en nuestro servidor, y se ha desactivado la recopilación de datos.

Puedes volver a modificar la configuración desde el menú de ajustes.",,,,,,,
DataCollectionConsent,"By enabling data collection, you are helping us to improve the gameplay experience with Dawn Apart.

Your data is NOT sold to third parties and only used for debugging and improving the game itself.

Thank you for your support!",,,,,"通过启用数据收集，您将帮助我们改进《Dawn Apart》的游戏体验。

您的数据不会被出售给第三方，仅会用于调试和改进游戏本身。

感谢您的支持！",Povolením sběru dat nám pomáháte zlepšovat herní zážitek s Dawn Apart.Vaše data NEJSOU prodávána třetím stranám a jsou používána pouze pro ladění a vylepšování samotné hry.Děkujeme za vaši podporu!,,,,"En autorisant la collecte de données, vous nous aidez à améliorer l'expérience de jeu de Dawn Apart.

Vos données ne sont PAS vendues à un tiers et ne sont utilisées que pour corriger des bugs et améliorer le jeu.

Merci pour votre soutien !","Durch das Aktivieren der Datenerhebung hilfst du uns, das Gameplay von Dawn Apart zu verbessern.

Deine Nutzerdaten werden NICHT an Dritte verkauft und ausschließlich zur Fehlerbehebung und Optimierung des Spiels selbst verwendet.

Vielen Dank für deine Unterstützung!",,,,,"데이터 수집을 허용하셨습니다. 데이터 수집은 Dawn Apart의 게임플레이를 개선하는 데 큰 도움이 됩니다.

수집한 데이터는 제3자에게 제공되지 않으며 오직 게임을 디버깅하고 개선하는 용도로만 사용합니다.

감사합니다!",,,,,,"Разрешив сбор данных, вы помогаете нам улучшить игровой процесс в Dawn Apart.

Ваши данные НЕ продаются третьим лицам и используются только для отладки и улучшения самой игры.

Спасибо за поддержку!","Al permitir que recopilemos tus datos, nos ayudas a mejorar la experiencia de juego de Dawn Apart.

NO vendemos los datos a terceros, y solo los usamos para solventar errores y mejorar el juego.

¡Gracias por tu apoyo!",,,,,,,
LowFPSDetected,"Low FPS detected, automatically adjusted video settings.",,,,,检测到 FPS 较低，已自动调整视频设置。,"Byla detekována nízká FPS, nastavení videa byla automaticky upravena.",,,,"Fréquence d'image basse détectée, paramètres vidéo automatiquement ajustés.","Geringe FPS erkannt, Grafikeinstellungen wurden automatisch angepasst.",,,,,낮은 FPS를 감지하여 화면 설정을 자동으로 조정하였습니다.,,,,,,В связи с низкой частотой кадров настройки графики были автоматически изменены.,Tasa de FPS baja detectada. Se han modificado los ajustes de vídeo de forma automática.,,,,,,,
basic,Basic,,,,,基础,Základní,,,,,Basique,Basic,,,,,일반,,,,,,Базовое,Básico,,,,,,
decoration,Decorations,,,,,装饰,Dekorace,,,,Décorations,Dekorationen,,,,,장식,,,,,,Элементы декора,Adornos,,,,,,,
bp-assembly,Assembly Machines,,,,,组装机,Montážní stroje,,,,,Machines d'assemblage,Montagemaschinen,,,,,조립 기계,,,,,,Сборочные машины,Máquinas de ensamblaje,,,,,,
ReportABug,Report a Bug,,,,,汇报错误,Nahlásit chybu,,,,,Signaler un bug,Bug melden,,,,,버그 신고,,,,,,Сообщить об ошибке,Informar de un error,,,,,,
SendBugReport,Send Bug Report,,,,,发送错误报告,Odeslat hlášení o chybě,,,,,Envoyer le signalement de bug,Sende Bug Report,,,,,버그 보고서 전송,,,,,,Отправить отчёт об ошибке,Enviar informe de errores,,,,,,
YourDiscordName,Your Discord Name (optional):,,,,,您的 Discord 用户名（选填）：,Vaše Discord jméno (volitelné):,,,,Votre nom Discord (optionnel) :,Dein Discord Name (optional):,,,,,Discord 사용자 이름(선택):,,,,,,Ваш ник в Discord (по желанию):,Tu nombre de Discord (opcional):,,,,,,,
WhatBug,What bug (three or less words):,,,,,错误类型（尽量简洁）：,Jaký hmyz (tři slova nebo méně):,,,,Type de bug (trois mots maximum) :,Was für ein Bug (in max. drei Worten):,,,,,버그 종류(세 단어 이내로 간략히):,,,,,,Озаглавьте ошибку (не более трёх слов):,Error (en tres palabras o menos):,,,,,,,
HowToReproduce,How can we reproduce this bug:,,,,,我们该如何重现此错误：,Jak můžeme tento bug reprodukovat:,,,,Comment reproduire ce bug :,Wie können wir diesen Bug reproduzieren?:,,,,,버그 발생 지점 및 재현 방법:,,,,,,"Действия, которые привели к ошибке:",Cómo reproducir el error:,,,,,,,
AutomaticSaveInfo,We make an automatic save file and transfer this with your description and a screenshot.,,,,,我们会自动生成一个存档文件，并将其与您的描述和截图一同提交。,Vytvoříme automatickou zálohu souboru a přeneseme ji spolu s vaším popisem a snímkem obrazovky.,,,,Nous créons un fichier de sauvegarde automatique que nous transférons avec votre description et une capture d'écran.,Wir kreieren eine automatische Save File und verlinken diese mit deiner Beschreibung und einem Screenshot.,,,,,자동으로 저장 파일을 생성하고 작성한 설명 및 스크린샷과 함께 전송합니다.,,,,,,"Мы создадим автоматическое сохранение, которое будет приложено к вашему описанию и скриншоту.",Creamos un archivo de guardado automático y lo enviamos junto a tu descripción y una captura de pantalla.,,,,,,,
WantToBeAnonymous,I want to be anonymous,,,,,我希望保持匿名,Chci být anonymní,,,,Je souhaite rester anonyme,Ich möchte anonym bleiben,,,,,익명으로 보고,,,,,,Я хочу сохранить анонимность,Quiero que sea anónimo,,,,,,,
SendReport,Send Report,,,,,发送报告,Odeslat zprávu,,,,Envoyer le signalement,Senden,,,,,보고서 전송,,,,,,Отправить отчёт,Enviar informe,,,,,,,
Sending,Sending,,,,,正在发送,Odesílání,,,,Envoi en cours,Sending,,,,,전송 중,,,,,,Отправка,Enviando,,,,,,,
SendingInfo,The bug report is being submitted...,,,,,正在提交错误报告……,Chybová zpráva se odesílá...,,,,Le signalement de bug est en cours d'envoi...,Der Bug Report wird übermittelt...,,,,,버그 보고서를 제출하는 중입니다...,,,,,,Отчёт об ошибке отправляется...,Se está enviando el informe de errores...,,,,,,,
Error,Error,,,,,出现异常,Chyba,,,,,Erreur,Fehler,,,,,오류,,,,,,Ошибка,Error,,,,,,
ErrorInfo,"There was an error sending the bug report.
		Please make sure to fill out all necessary fields (title and description) or try again later.

		Thank you for your support!",,,,,"发送错误报告时出现异常。
		请务必填写所有必要字段（包括标题和描述），或稍后再试。

		感谢您的支持！","Došlo k chybě při odesílání hlášení chyby.Prosím, ujistěte se, že jste vyplnili všechna potřebná pole (název a popis) nebo zkuste znovu později.Děkujeme za vaši podporu!",,,,"Une erreur est survenue lors de l'envoi du signalement de bug.
                Veuillez vous assurer que tous les champs nécessaires sont remplis (titre et description) ou réessayez plus tard.

                Merci pour votre soutien !","Es gab einen Fehler beim Versenden des Reports. 
Bitte stell sicher, dass du alle notwendigen Felder (Titel und Beschreibung) ausgefüllt hast oder versuche es später erneut.

		Vielen Dank für deine Hilfe!",,,,,"버그 보고서 제출 중 오류가 발생했습니다.
                필수 항목(제목 및 설명)을 모두 작성했는지 확인하시거나 잠시 후 다시 시도해 주십시오.

                감사합니다!",,,,,,"При отправлении отчёта произошла ошибка.
		Пожалуйста, проверьте все обязательные к заполнению поля (заголовок и описание) или попробуйте позже.

		Спасибо за поддержку!","Se ha producido un error al enviar el informe.
		Comprueba que has rellenado todos los campos necesarios (título y descripción) o vuelve a intentarlo más tarde.

		¡Gracias por tu apoyo!",,,,,,,
ThankYou,Thank You,,,,,非常感谢,Děkuji,,,,Merci,Danke,,,,,감사합니다,,,,,,Спасибо,Gracias,,,,,,,
ThankYouInfo,"The bug was submitted successfully.

		Thank you for your support!",,,,,"错误报告已成功提交。

		感谢您的支持！",Chyba byla úspěšně odeslána.Děkujeme za Vaši podporu!,,,,"Le bug a été signalé.

		Merci pour votre soutien !","Der Bug Report wurde erfolgreich übermittelt.

		Vielen Dank für deine Hilfe!",,,,,"버그 보고서를 전송하였습니다.

		감사합니다!",,,,,,"Отчёт об ошибке успешно отправлен.

                Спасибо за помощь!","El error se ha enviado.

		¡Gracias por tu apoyo!",,,,,,,
accumulator,Accumulator,,,,,蓄电器,Akumulátor,,,,,Accumulateur,Akkumulator,,,,,에너지 저장기,,,,,,Аккумулятор,Acumulador,,,,,,
accumulator-description,Accumulates extra energy to be utilized by buildings on its electrical network.,,,,,能够储存额外能量，供其电网上的建筑使用。,Hromadí přebytečnou energii pro využití budovami ve své elektrické síti.,,,,Accumule de l'énergie qui sera utilisée par les bâtiments sur son réseau électrique.,Beschreibung Akkumulator,,,,,전력망을 연결한 시설에서 사용할 추가 에너지를 저장합니다.,,,,,,"Копит дополнительную энергию для построек, подключённых к его электросети.",Acumula energía adicional para que la empleen los edificios que formen parte de su red eléctrica.,,,,,,,
fast-accumulator,Fast Accumulator,,,,,高速蓄电器,Rychlý akumulátor,,,,,Accumulateur rapide,Schneller Akkumulator,,,,,고속 에너지 저장기,,,,,,Скоростной аккумулятор,Acumulador rápido,,,,,,
fast-accumulator-description,Accumulates extra energy faster to be utilized by buildings on its electrical network,,,,,能够快速储存额外能量，供其电网上的建筑使用。,Rychleji akumuluje přebytečnou energii pro využití budovami v její elektrické síti.,,,,Accumule plus rapidement de l'énergie qui sera utilisée par les bâtiments sur son réseau électrique.,,,,,,전력망을 연결한 건물에 사용할 추가 에너지를 더 빠르게 저장합니다.,,,,,,"Быстрее копит дополнительную энергию для построек, подключённых к его электросети.",Acumula energía adicional con mayor rapidez para que la empleen los edificios que formen parte de su red eléctrica.,,,,,,,
high-capacity-accumulator,High Capacity Accumulator,,,,,大储能蓄电器,Akumulátor vysoké kapacity,,,,,Accumulateur haute capacité,Hochleistungsakkumulator,,,,,고용량 에너지 저장기,,,,,,Высокоёмкий аккумулятор,Acumulador de gran capacidad,,,,,,
high-capacity-accumulator-description,Accumulates large amounts of energy to be utilized by buildings on its electrical network,,,,,能够储存大量额外能量，供其电网上的建筑使用。,Hromadí velké množství energie k využití budovami v jeho elektrické síti.,,,,Accumule de grandes quantités d'énergie qui seront utilisées par les bâtiments sur son réseau électrique.,,,,,,전력망을 연결한 시설에 사용할 대량의 추가 에너지를 저장합니다.,,,,,,"Копит энергию в больших количествах для построек, подключённых к его электросети.",Acumula grandes cantidades de energía para que la empleen los edificios que formen parte de su red eléctrica.,,,,,,,
steam-engine,Steam Engine,,,,,蒸汽机,Parní stroj,,,,,Machine à vapeur,Dampfmaschine,,,,,증기 기관,,,,,,Паровой двигатель,Máquina de vapor,,,,,,
steam-engine-description,A steam turbine which produces electricity.,,,,,用于发电的蒸汽轮机。,"Parní turbína, která vyrábí elektřinu.",,,,Turbine à vapeur produisant de l'électricité.,,,,,,전력을 생산하는 증기 터빈입니다.,,,,,,"Паровой двигатель, производящий электричество.",Un motor de vapor que produce electricidad.,,,,,,,
steam-turbine,Steam Turbine,,,,,汽轮机,Parní turbína,,,,Turbine à vapeur,Dampfturbine,,,,,증기 터빈,,,,,,Паровая турбина,Turbina de vapor,,,,,,,
steam-turbine-description,A steam turbine which produces electricity - more effective than the steam engine.,,,,,用于发电的蒸汽轮机——效率相较蒸汽机更高。,"Parní turbína, která vyrábí elektřinu – efektivnější než parní stroj.",,,,Turbine à vapeur produisant de l'électricité de manière plus efficace que la machine à vapeur.,,,,,,전력을 생산하는 증기 터빈입니다. 증기 기관보다 더 효과적입니다.,,,,,,"Паровая турбина, производящая электричество гораздо эффективнее, чем паровой двигатель.",Un motor de vapor que produce electricidad con mayor eficacia que la máquina de vapor.,,,,,,,
casting-machine,Lucrum Coil Casting Machine,,,,,琉稀矿压线机,Odlévací stroj Lucrum Coil,,,,Machine à bobines de Lucrum,Lucrum-Spulen-Presse,,,,,루크룸 코일 주조기,,,,,,Литейная машина для лукрума,Prensa de bobinas de lucrum,,,,,,,
